Pavarde        Vardas         ND1   ND2   ND3   ND4   ND5   Egzaminas 
------------------------------------------------------------
Pavarde1       Vardas1        6     8     4     10    1     6         
Pavarde2       Vardas2        9     6     10    10    2     7         
Pavarde3       Vardas3        4     6     8     8     3     1         
Pavarde4       Vardas4        6     4     4     6     3     1         
Pavarde5       Vardas5        2     10    10    1     7     8         
Pavarde6       Vardas6        5     4     1     4     1     5         
Pavarde7       Vardas7        9     10    3     7     10    6         
Pavarde8       Vardas8        9     1     6     3     9     8         
Pavarde9       Vardas9        1     8     3     5     4     3         
Pavarde10      Vardas10       10    9     5     8     10    9         
Pavarde11      Vardas11       8     4     8     7     2     7         
Pavarde12      Vardas12       5     1     7     8     7     9         
Pavarde13      Vardas13       9     2     6     1     4     5         
Pavarde14      Vardas14       4     1     5     7     6     7         
Pavarde15      Vardas15       7     8     6     5     4     8         
Pavarde16      Vardas16       10    8     6     10    4     2         
Pavarde17      Vardas17       5     5     2     9     7     6         
Pavarde18      Vardas18       4     4     2     8     1     5         
Pavarde19      Vardas19       2     6     9     8     7     2         
Pavarde20      Vardas20       9     2     2     8     9     5         
Pavarde21      Vardas21       3     3     1     9     4     4         
Pavarde22      Vardas22       5     9     9     10    4     8         
Pavarde23      Vardas23       5     4     3     5     2     2         
Pavarde24      Vardas24       4     5     8     6     3     9         
Pavarde25      Vardas25       5     8     4     4     10    10        
Pavarde26      Vardas26       8     6     2     2     1     4         
Pavarde27      Vardas27       6     8     6     6     5     9         
Pavarde28      Vardas28       5     4     1     8     2     3         
Pavarde29      Vardas29       10    5     2     3     5     4         
Pavarde30      Vardas30       5     2     1     8     6     6         
Pavarde31      Vardas31       8     9     5     8     5     10        
Pavarde32      Vardas32       7     10    1     10    5     9         
Pavarde33      Vardas33       3     8     10    9     9     4         
Pavarde34      Vardas34       10    4     2     1     3     9         
Pavarde35      Vardas35       1     7     5     7     3     7         
Pavarde36      Vardas36       9     4     7     6     10    4         
Pavarde37      Vardas37       9     8     1     9     1     6         
Pavarde38      Vardas38       4     1     7     3     2     2         
Pavarde39      Vardas39       5     4     5     3     9     3         
Pavarde40      Vardas40       5     4     3     4     2     6         
Pavarde41      Vardas41       7     9     7     8     5     3         
Pavarde42      Vardas42       10    4     1     10    5     4         
Pavarde43      Vardas43       6     4     4     3     4     8         
Pavarde44      Vardas44       5     9     5     5     7     5         
Pavarde45      Vardas45       2     6     8     4     1     1         
Pavarde46      Vardas46       6     2     8     3     8     9         
Pavarde47      Vardas47       9     10    2     6     9     4         
Pavarde48      Vardas48       10    10    8     7     6     2         
Pavarde49      Vardas49       6     3     9     4     1     8         
Pavarde50      Vardas50       4     8     6     7     1     8         
Pavarde51      Vardas51       1     4     5     10    2     9         
Pavarde52      Vardas52       7     6     9     1     8     7         
Pavarde53      Vardas53       1     4     8     8     4     2         
Pavarde54      Vardas54       2     2     2     10    4     4         
Pavarde55      Vardas55       2     5     3     10    4     1         
Pavarde56      Vardas56       5     2     4     5     9     4         
Pavarde57      Vardas57       8     9     5     8     7     5         
Pavarde58      Vardas58       7     4     8     7     9     6         
Pavarde59      Vardas59       1     2     4     5     2     8         
Pavarde60      Vardas60       10    4     3     7     7     10        
Pavarde61      Vardas61       7     3     10    5     6     5         
Pavarde62      Vardas62       8     2     5     10    4     1         
Pavarde63      Vardas63       1     7     8     7     6     3         
Pavarde64      Vardas64       10    6     5     4     4     6         
Pavarde65      Vardas65       10    3     4     4     6     9         
Pavarde66      Vardas66       2     2     9     4     2     2         
Pavarde67      Vardas67       9     8     5     4     10    3         
Pavarde68      Vardas68       9     5     4     4     8     1         
Pavarde69      Vardas69       5     4     8     4     1     5         
Pavarde70      Vardas70       3     5     4     6     10    8         
Pavarde71      Vardas71       2     9     1     6     4     3         
Pavarde72      Vardas72       6     9     1     9     3     10        
Pavarde73      Vardas73       4     4     2     7     2     10        
Pavarde74      Vardas74       7     6     10    7     8     1         
Pavarde75      Vardas75       9     10    1     1     9     1         
Pavarde76      Vardas76       6     6     3     8     9     1         
Pavarde77      Vardas77       6     10    8     10    6     3         
Pavarde78      Vardas78       9     5     1     10    2     4         
Pavarde79      Vardas79       9     10    7     10    6     4         
Pavarde80      Vardas80       8     7     9     5     6     4         
Pavarde81      Vardas81       2     1     5     2     4     10        
Pavarde82      Vardas82       6     6     10    7     6     4         
Pavarde83      Vardas83       10    5     8     7     7     3         
Pavarde84      Vardas84       2     8     2     2     3     1         
Pavarde85      Vardas85       9     7     1     9     5     2         
Pavarde86      Vardas86       2     3     9     2     5     8         
Pavarde87      Vardas87       1     7     4     6     1     3         
Pavarde88      Vardas88       4     3     7     1     3     6         
Pavarde89      Vardas89       6     8     10    7     6     3         
Pavarde90      Vardas90       3     7     7     6     5     6         
Pavarde91      Vardas91       6     3     3     5     5     5         
Pavarde92      Vardas92       8     9     6     8     9     4         
Pavarde93      Vardas93       2     6     6     4     10    1         
Pavarde94      Vardas94       1     9     7     2     1     6         
Pavarde95      Vardas95       7     2     2     1     5     8         
Pavarde96      Vardas96       10    9     6     5     10    10        
